epoch   0 | lr 0.000100 |lr_p 0.000100 | batch      0 | examples/s:   1.3 | loss: 0.15403 | time elapsed: 00h00m59s | time left: 00h00m00s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    250 | examples/s:  30.3 | loss: 0.11631 | time elapsed: 00h02m07s | time left: 33h49m33s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    500 | examples/s:  23.1 | loss: 0.12297 | time elapsed: 00h03m13s | time left: 25h40m03s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    750 | examples/s:  35.4 | loss: 0.11485 | time elapsed: 00h04m21s | time left: 23h08m46s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1000 | examples/s:  33.2 | loss: 0.12761 | time elapsed: 00h05m27s | time left: 21h45m03s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1250 | examples/s:  36.7 | loss: 0.12995 | time elapsed: 00h06m34s | time left: 20h55m19s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1500 | examples/s:  36.5 | loss: 0.14902 | time elapsed: 00h07m39s | time left: 20h17m46s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   1750 | examples/s:  37.9 | loss: 0.12661 | time elapsed: 00h08m46s | time left: 19h52m50s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2000 | examples/s:  33.2 | loss: 0.12517 | time elapsed: 00h09m51s | time left: 19h32m37s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2250 | examples/s:  23.4 | loss: 0.12440 | time elapsed: 00h10m57s | time left: 19h16m33s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2500 | examples/s:  25.7 | loss: 0.11452 | time elapsed: 00h12m03s | time left: 19h04m33s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   2750 | examples/s:  34.6 | loss: 0.11226 | time elapsed: 00h13m08s | time left: 18h52m38s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3000 | examples/s:  35.0 | loss: 0.11625 | time elapsed: 00h14m13s | time left: 18h43m08s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3250 | examples/s:  28.4 | loss: 0.10337 | time elapsed: 00h15m18s | time left: 18h34m13s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3500 | examples/s:  32.8 | loss: 0.12605 | time elapsed: 00h16m23s | time left: 18h26m43s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   3750 | examples/s:  26.6 | loss: 0.12013 | time elapsed: 00h17m28s | time left: 18h19m51s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch   4000 | examples/s:  25.1 | loss: 0.12095 | time elapsed: 00h18m35s | time left: 18h16m09s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch      0 | examples/s:   1.8 | loss: 0.18887 | time elapsed: 00h00m53s | time left: 00h00m00s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    250 | examples/s:  35.6 | loss: 0.14007 | time elapsed: 00h02m00s | time left: 64h13m22s
epoch   0 | lr 0.000100 |lr_p 0.000100 | batch    500 | examples/s:  36.5 | loss: 0.12492 | time elapsed: 00h03m07s | time left: 49h54m14s
